hours,xs(pb),xs_3j,err_3j,xs_4j,err_4j
0,10923.319540340002,7926.2,9.223569,2997.119,4.683813
1,12304.66419741,8817.225,9.136897,3487.439,4.872341
2,19225.222893550002,13514.61,13.57317,5710.618,7.266233
3,41844.352864630004,28430.49,29.71272,13413.87,16.8608
4,91195.08451494001,58481.92,64.81626,32713.16,35.86102
5,152658.19882577998,93370.13,106.9158,59288.07,64.10424
6,182434.98753777,109527.5,128.7586,72907.47,80.25753
7,153362.54184619003,93628.67,111.2039,59733.87,66.943
8,92294.85121331002,58993.45,63.3688,33301.4,37.13174
9,42828.55757797999,28933.9,30.91618,13894.66,16.75506
10,19787.54786707,13839.63,13.61885,5947.919,7.58296
11,12498.886298250001,8939.302,9.761573,3559.584,5.07309
12,10914.26053498,7920.672,9.430773,2993.589,4.472258
13,12493.69218068,8932.826,9.533975,3560.866,4.864333
14,19802.77023168,13859.95,13.54279,5942.821,7.886214
15,42859.2038389,28961.85,30.99493,13897.36,16.32739
16,92194.93252369999,58972.1,67.94179,33222.83,38.20734
17,153643.47443544,93811.45,111.9488,59832.03,65.35789
18,182244.28510217002,109678.3,131.3379,72566.03,86.30638
19,152598.55464811999,93361.17,112.5018,59237.38,67.01333
20,91133.73670513002,58449.85,65.27758,32683.89,35.34001
21,41866.83375388,28389.19,31.35058,13477.64,15.99222
22,19222.16868477,13512.53,13.59686,5709.637,7.314416
23,12327.528716120001,8839.439,9.557384,3488.09,4.976349
