lambda,xs(pb),xs_3j,err_3j,xs_4j,err_4j
0.0,1152.3375453646,1074.263,1.092881,78.07447,0.2187269
0.001,1153.8368608365,1075.847,1.052751,77.99007,0.2035471
0.01,1154.7321813878002,1076.702,1.033112,78.03055,0.2009709
0.02,1156.2000874306,1077.939,1.077173,78.26069,0.2027173
0.03,1156.9244766144,1078.294,1.099186,78.63095,0.2081826
0.04,1160.5230029873,1081.466,1.077477,79.05728,0.2094528
0.05,1165.086587116,1085.473,1.067684,79.61334,0.2118008
0.06,1171.4416412988999,1090.843,1.063052,80.59873,0.2150595
0.07,1176.3450963770001,1095.06,1.088397,81.2849,0.2090687
0.08,1183.6448623964,1101.44,1.120899,82.20451,0.2296132
0.09,1191.7203910691,1108.568,1.091773,83.15288,0.2403107
0.1,1200.4323320884,1115.824,1.167627,84.60809,0.2230452
0.11,1210.8805697187,1125.101,1.107388,85.77935,0.2303664
0.12,1221.3328486075,1133.901,1.185588,87.43188,0.2195477
0.13,1233.594986978,1144.358,1.153843,89.23716,0.2352657
0.14,1246.346159586,1155.397,1.154923,90.94912,0.2380459
0.15,1260.400726425,1167.277,1.210751,93.12409,0.2431364
0.16,1276.1041803889998,1180.772,1.253508,95.33226,0.2428326
0.17,1292.7297325010002,1195.018,1.253951,97.71139,0.2477504
0.18,1309.963841522,1209.872,1.233719,100.0915,0.2690658
0.19,1327.145477898,1224.267,1.274064,102.878,0.2638127
0.2,1346.8853010819998,1241.147,1.23833,105.7386,0.2478614
0.3,1605.0870902649997,1457.887,1.53122,147.1997,0.3697392
0.4,1999.5357728480003,1781.669,1.873223,217.867,0.4993644
0.5,2573.489297036,2241.641,2.307283,331.8483,0.708912
0.6,3373.597882536,2856.2,3.125472,517.3977,1.064373
0.7,4480.587710583,3674.756,4.127684,805.8313,1.486005
0.8,6004.00145731,4745.931,5.166669,1258.07,2.20625
0.9,8094.0438056600005,6141.603,7.124481,1952.441,3.180282
1.0,10923.319540340002,7926.2,9.223569,2997.119,4.683813
2.0,6524.96661722,5347.692,4.717366,1177.274,1.910336
3.0,37367455.5843734,8915560.0,16076.29,28451890.0,21662.4
4.0,3022906.5385036995,673486.7,1183.137,2349420.0,2110.628
5.0,13790265.053857403,2121205.0,4572.369,11669060.0,9667.368
6.0,50867267.419032395,5654096.0,13647.28,45213170.0,37823.69
7.0,158625384.31129745,13299160.0,36763.19,145326200.0,113457.4
8.0,433397092.39194757,28294450.0,92261.7,405102600.0,315036.1
9.0,1065072560.0854175,55585590.0,215620.7,1009487000.0,799283.4
10.0,17129638133.227367,444154600.0,2342524.0,16685480000.0,15991170.0
100.0,1.5895265836428e+18,419519900000000.0,4471023000000.0,1.589107e+18,1507297000000000.0
1000.0,1.588492945035897e+26,4.188514e+20,4.448908e+18,1.588489e+26,1.482714e+23
